title,Distributor,Genre,release_date,budget,Domestic Sales (in $),International Sales (in $),Domestic Sales (as % of total Revenue),International Sales (as % of total Revenue),Revenue,Profit/Loss,vote_average
Non-Stop,Universal Pictures,"Action, Mystery, Thriller",2014-01-26,50000000.0,92168600,130641000,41.37%,58.63%,222809600,172809600.0,6.8
The Client,Warner Bros.,"Crime, Drama, Mystery, Thriller",1994-07-20,45000000.0,92115211,25500000,78.32%,21.68%,117615211,72615211.0,6.4
Star Trek: First Contact,Paramount Pictures,"Action, Adventure, Drama, Sci-Fi, Thriller",1996-11-21,46000000.0,92027888,54000000,63.02%,36.98%,146027888,100027888.0,7.0
Think Like a Man,Screen Gems,"Comedy, Romance",2012-04-16,12000000.0,91547205,4523302,95.29%,4.71%,96070507,84070507.0,6.9
Kindergarten Cop,Universal Pictures,"Action, Comedy, Crime",1990-12-21,15000000.0,91457688,110500000,45.29%,54.71%,201957688,186957688.0,5.8
The Haunting,DreamWorks Distribution,"Fantasy, Horror, Mystery, Thriller",1999-07-23,80000000.0,91411151,85900000,51.55%,48.45%,177311151,97311151.0,5.2
Crimson Tide,Walt Disney Studios Motion Pictures,"Action, Drama, Thriller, War",1995-05-12,53000000.0,91387195,66000000,58.07%,41.93%,157387195,104387195.0,7.0
Ride Along 2,Universal Pictures,"Action, Comedy, Crime",2016-01-14,40000000.0,91221830,33386608,73.21%,26.79%,124608438,84608438.0,6.1
Stepmom,Sony Pictures Entertainment (SPE),"Comedy, Drama",1998-12-25,50000000.0,91137662,68573131,57.06%,42.94%,159710793,109710793.0,6.9
The Imitation Game,The Weinstein Company,"Biography, Drama, Thriller, War",2014-11-14,14000000.0,91125683,142430025,39.02%,60.98%,233555708,219555708.0,8.0
Save the Last Dance,Paramount Pictures,"Drama, Music, Romance",2001-01-12,13000000.0,91057006,40649803,69.14%,30.86%,131706809,118706809.0,6.3
The Scorpion King,Universal Pictures,"Action, Adventure, Fantasy",2002-04-16,60000000.0,91047077,89583830,50.41%,49.59%,180630907,120630907.0,5.3
Prince of Persia: The Sands of Time,Walt Disney Studios Motion Pictures,"Action, Adventure, Fantasy",2010-05-19,150000000.0,90759676,245606000,26.98%,73.02%,336365676,186365676.0,6.2
Antz,DreamWorks Distribution,"Adventure, Animation, Comedy, Family, Fantasy",1998-10-02,60000000.0,90757863,81000000,52.84%,47.16%,171757863,111757863.0,6.0
Scary Movie 4,Dimension Films,Comedy,2006-04-13,45000000.0,90710620,87552000,50.89%,49.11%,178262620,133262620.0,5.3
The Game Plan,Walt Disney Studios Motion Pictures,"Comedy, Family, Sport",2007-09-28,22000000.0,90648202,57232341,61.30%,38.70%,147880543,125880543.0,6.0
"Me, Myself & Irene",Twentieth Century Fox,Comedy,2000-06-22,51000000.0,90570999,58700000,60.68%,39.32%,149270999,98270999.0,6.1
High School Musical 3: Senior Year,Walt Disney Studios Motion Pictures,"Comedy, Drama, Family, Music, Musical, Romance",2008-10-22,11000000.0,90559416,162349761,35.81%,64.19%,252909177,241909177.0,6.2
Madea Goes to Jail,Lionsgate,"Comedy, Crime, Drama",2009-02-16,17500000.0,90508336,90508336,50.00%,50.00%,181016672,163516672.0,6.4
Space Cowboys,Warner Bros.,"Action, Adventure, Thriller",2000-07-31,65000000.0,90464773,38419359,70.19%,29.81%,128884132,63884132.0,6.3
Space Jam,Warner Bros.,"Adventure, Animation, Comedy, Family, Fantasy, Sci-Fi, Sport",1996-11-15,80000000.0,90418342,140000000,39.24%,60.76%,230418342,150418342.0,6.5
Get Hard,Warner Bros.,"Comedy, Crime",2015-03-26,40000000.0,90411453,21300000,80.93%,19.07%,111711453,71711453.0,5.9
RED,Summit Entertainment,"Action, Comedy, Crime, Thriller",2010-10-13,58000000.0,90380162,108626225,45.42%,54.58%,199006387,141006387.0,6.6
